id,course_id,title,category,module,level,number,description,is_active,competency
766,21,Animation in CSS ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L7,11,,TRUE,"Define animation keyframes using @keyframes rules;Apply animation properties: name, duration, timing-function, delay, iteration-count, direction;Use 2D/3D transformations (transform: scale, rotate, translate);Create loading spinners and interactive card animations"
767,21,"Part of the Crew, Part of the Ship ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M2L8,12,,TRUE,"Perform full web page slicing from complex layouts;Apply CSS naming methodologies (such as BEM) for clean code;Integrate all styling techniques (Flexbox, Grid, Transitions);Adhere to frontend team coding conventions and best practices"
768,21,Introduction to JavaScript ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M3L1,13,,TRUE,"Understand the role of JavaScript in interactive web development;Link JS scripts to HTML pages using script tags;Learn basic data types (string, number, boolean, null, undefined);Declare variables using let, const, and var;Use console.log() for basic debugging"
769,21,Conditionals ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M3L2,14,,TRUE,"Understand comparison operators (==, ===, !=, !==, >, <, >=, <=);Use logical operators (AND &&, OR ||, NOT !);Implement conditional statements with if, else if, else;Use switch-case statements and ternary operators for decision making"
770,21,Loops and Arrays ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M3L3,15,,TRUE,"Create and manipulate Array data structures (push, pop, shift, unshift, slice, splice);Use for, while, and do-while loops;Iterate array elements using for...of and forEach;Manage dynamic lists of data collections"
771,21,Functions in JavaScript ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M3L4,16,,TRUE,"Define functions (function declarations and function expressions);Understand parameters, arguments, and return values;Learn Arrow Function syntax;Understand function scope and global scope concepts"
772,21,Creating Dynamic Content. Part 1 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L1,17,,TRUE,"Understand DOM (Document Object Model) concepts;Select HTML elements using querySelector, querySelectorAll, getElementById;Modify text and content structure with innerText, textContent, and innerHTML;Manipulate element attributes (setAttribute, getAttribute, classList.add/remove/toggle)"
773,21,Creating Dynamic Content. Part 2 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L2,18,,TRUE,"Dynamically add and remove DOM elements (createElement, appendChild, remove);Handle user events with addEventListener (click, input, submit);Prevent default form behavior using event.preventDefault();Build a functional to-do list app based on user interactions"
774,21,OOP. Part 1 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L3,19,,TRUE,Understand core Object-Oriented Programming (OOP) concepts in JS;Create and access object literals with properties and methods;Use the 'this' keyword in object contexts;Instantiate objects using constructor functions
775,21,OOP. Part 2 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L4,20,,TRUE,Define Classes and constructors in modern JavaScript (ES6);Implement inheritance using extends and super keywords;Understand encapsulation and getters/setters;Structure modular application code using classes
776,21,Animation in JS. Part 1 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L5,21,,TRUE,Create JS-based animations using requestAnimationFrame;Gradually control element positioning via script;Manipulate CSS styles dynamically with JS;Build interactive mouse-tracking effects
777,21,Animation in JS. Part 2 ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L6,22,,TRUE,Integrate JS animation libraries (such as GSAP or Anime.js);Create synchronized sequential animation timelines;Trigger animations based on scroll events (scroll-triggered animation);Optimize animation performance for smooth 60fps rendering
778,21,Asynchrony and BOM ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L7,23,,TRUE,"Understand asynchronous programming concepts in JavaScript;Use timer functions (setTimeout and setInterval);Understand the Browser Object Model (BOM: window, location, navigator, history);Learn basic Promise concepts and asynchronous handling"
779,21,Working with Strings and Cookies ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M4L8,24,,TRUE,"Use string manipulation methods (split, join, replace, trim, toLowerCase, toUpperCase);Understand basic Regular Expressions (RegEx) for string validation;Understand browser storage: Cookies, LocalStorage, and SessionStorage;Save and retrieve user preferences in browser storage"
780,21,"Project ""Pixel"". Part 1 ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M5L1,25,,TRUE,"Analyze requirements and architect the 'Pixel' project (Pixel Art Editor);Set up project file structure (HTML, CSS, JS);Build the core canvas grid UI and color palette;Define user interaction workflows"
781,21,"Project ""Pixel"". Part 2 ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M5L2,26,,TRUE,Implement dynamic grid generation based on dimension inputs;Add color selection logic from palettes or color pickers;Apply event listeners for grid cell coloring on click and drag;Manage active color states in the application
782,21,"Project ""Pixel"". Part 3 ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M5L3,27,,TRUE,"Add drawing utility tools (eraser, clear grid, flood fill / paint bucket);Implement undo/redo functionality for user action history;Optimize canvas event interactions to prevent glitches;Polish UI styling with modern CSS"
783,21,"Project ""Pixel"". Part 4 ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M5L4,28,,TRUE,"Implement image export/download functionality for pixel art (PNG/JPEG);Save artwork state in LocalStorage to persist across refreshes;Perform debugging, code refactoring, and final polish;Write project documentation and test all functionalities"
784,21,Version Control Systems ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L1,29,,TRUE,"Understand the concept and importance of Version Control Systems (VCS);Install and configure Git in a local environment (user.name, user.email);Initialize a local Git repository (git init);Track file changes using git add, git commit, and git status;Inspect commit history with git log"
785,21,"Development Environment, Console, and Branching ENG",Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L2,30,,TRUE,"Master essential terminal / command line interface (CLI) commands;Create, switch, and manage Git branches (git branch, git checkout / git switch);Merge branches using git merge;Resolve merge conflicts properly"
786,21,Working in a Group Project. Planning ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L3,31,,TRUE,"Distribute team roles and responsibilities in frontend development;Create task backlogs and roadmaps using project management tools (Trello/GitHub Projects);Connect local repositories to remote repositories on GitHub (git remote, git push, git pull);Establish Git collaboration workflows (branching strategy, PR guidelines)"
787,21,Working in a Group Project. Mockups ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L4,32,,TRUE,"Analyze Figma UI mockups collaboratively with team members;Deconstruct UI components into modular tasks for team distribution;Define design guidelines (design system: color palette, typography, spacing);Set up team project boilerplate templates"
788,21,Working in a Group Project. Layout ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L5,33,,TRUE,Implement HTML & CSS layouts collaboratively according to assigned modules;Apply responsive layout techniques (Flexbox and Grid);Create Pull Requests (PR) on GitHub for feature branches;Perform peer code reviews on teammates' work
789,21,Working in a Group Project. Logic Programming ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L6,34,,TRUE,Integrate JavaScript logic into interactive team components;Connect modular functions developed by different team members;Manage shared application state across frontend modules;Test cross-feature integration to ensure component compatibility
790,21,Working in a Group Project. Testing and Refinement ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L7,35,,TRUE,"Conduct cross-browser and responsive testing across multiple screen resolutions;Identify and fix functional and visual bugs (debugging);Optimize web asset load times (minification, image compression);Refactor codebase according to clean code standards"
791,21,Hosting and Deployment ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M6L8,36,,TRUE,"Understand frontend hosting and domain management concepts;Deploy web projects to modern static hosting platforms (GitHub Pages, Netlify, or Vercel);Configure continuous deployment via Git;Verify live deployments in production environments"
792,21,Freedom of Form ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M7L1,37,,TRUE,"Explore creative and experimental approaches in web UI slicing;Implement unique visual styling (glassmorphism, neumorphism, parallax scrolling, custom cursors);Express creative visual design identities beyond standard templates;Balance visual aesthetics with user experience (UX)"
793,21,Choosing a Hosting Service ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M7L2,38,,TRUE,"Understand web hosting types (Shared Hosting, VPS, Cloud Hosting, Jamstack);Compare pros, cons, and cost structures of various hosting platforms;Understand DNS records, custom domain configuration, and SSL/HTTPS setup;Select optimal hosting solutions based on project scale and requirements"
794,21,Web Analytics Tools ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M7L3,39,,TRUE,"Understand the role of web analytics in tracking visitor behavior;Integrate web analytics tools (such as Google Analytics / Google Tag Manager);Interpret key metrics: pageviews, bounce rate, session duration, and user flow;Leverage analytics data to evaluate and optimize website performance"
795,21,Promotion ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M7L4,40,,TRUE,"Understand on-page SEO fundamentals for frontend (meta tags, semantic HTML, Open Graph);Audit and optimize web performance using Google Lighthouse (Core Web Vitals);Learn digital promotion strategies for web developer portfolios;Build an impressive online portfolio tailored for clients and recruiters"
796,21,Graduation ENG,Fundamental Frontend Development 2.0 ENG,Fundamental Frontend Development 2.0 ENG,M8L1,41,,TRUE,"Present the final frontend capstone project to an audience/reviewers;Demonstrate technical features, code architecture, and UI design;Answer technical inquiries and receive professional feedback;Formulate continuous career development plans and certification roadmaps"
