id,course_id,title,category,module,level,number,description,is_active,competency
571,15,Proyek «Cerita Hewan Peliharaan Hebatku» INDO,Digital Literasi 2.0,Digital Literasi 2.0,M3P4,14,,TRUE,Menyusun cerita naratif menggunakan editor teks secara terstruktur; Menyisipkan gambar atau elemen visual ke dalam dokumen teks; Melakukan finalisasi dan penyimpanan file dalam format yang benar;
572,15,Pembukaan besar-besaran Studio Super Games INDO,Digital Literasi 2.0,Digital Literasi 2.0,M4P1,15,,TRUE,Memahami konsep dasar presentasi digital; Membuat slide presentasi baru dengan tata letak yang menarik; Menyusun struktur perkenalan ide game;
573,15,Pembuatan presentasi game RoboWorld INDO,Digital Literasi 2.0,Digital Literasi 2.0,M4P2,16,,TRUE,Menambahkan teks dan elemen visual bertema game ke dalam slide; Mengatur transisi antar slide agar presentasi lebih dinamis; Menyajikan informasi produk digital secara visual;
574,15,Festival Laut: Menghidupkan permainan! INDO,Digital Literasi 2.0,Digital Literasi 2.0,M4P3,17,,TRUE,Menambahkan efek animasi pada objek presentasi; Menghidupkan elemen slide agar audiens lebih tertarik; Menyusun alur cerita presentasi yang interaktif;
575,15,Proyek «Memperluas Festival Laut» INDO,Digital Literasi 2.0,Digital Literasi 2.0,M4P4,18,,TRUE,Mengintegrasikan seluruh slide menjadi satu proyek presentasi yang utuh; Melakukan review dan penyuntingan akhir tampilan presentasi; Melatih kemampuan komunikasi visual melalui proyek presentasi;
576,15,Jendela ke Internet INDO,Digital Literasi 2.0,Digital Literasi 2.0,M5P1,19,,TRUE,Memahami cara kerja jaringan internet dan fungsi browser; Melakukan pencarian informasi menggunakan mesin pencari (search engine); Menavigasi halaman web dengan aman;
577,15,"Operasi ""Hentikan Generator!"" INDO",Digital Literasi 2.0,Digital Literasi 2.0,M5P2,20,,TRUE,Mengidentifikasi ancaman keamanan digital saat berselancar di internet; Menerapkan langkah pencegahan terhadap situs berbahaya; Memahami pentingnya privasi online;
578,15,Museum Mavi: Pencarian Artefak yang Hilang INDO,Digital Literasi 2.0,Digital Literasi 2.0,M5P3,21,,TRUE,Menggunakan internet untuk riset dan pengumpulan informasi otentik; Membedakan informasi valid dan hoax di internet; Menavigasi museum digital atau tur virtual;
579,15,Agen Digital Rahasia INDO,Digital Literasi 2.0,Digital Literasi 2.0,M5P4,22,,TRUE,Menerapkan konsep keamanan siber (cybersecurity) dasar; Mengelola kata sandi (password) yang aman; Menjaga jejak digital (digital footprint) agar tetap bersih dan aman;
580,15,Kunjungan ke Universitas AI INDO,Digital Literasi 2.0,Digital Literasi 2.0,M6P1,23,,TRUE,Memahami konsep dasar Kecerdasan Buatan (AI); Mengenal cara kerja pembelajaran mesin (machine learning) secara sederhana; Mengidentifikasi pemanfaatan AI dalam kehidupan sehari-hari;
581,15,Fakultas Kekuatan Super AI INDO,Digital Literasi 2.0,Digital Literasi 2.0,M6P2,24,,TRUE,Mengeksplorasi kemampuan dan batasan dari teknologi AI; Memahami bagaimana AI memproses data besar; Memanfaatkan perkakas AI untuk menganalisis pola sederhana;
582,15,Lokakarya AI Artistik INDO,Digital Literasi 2.0,Digital Literasi 2.0,M6P3,25,,TRUE,Menggunakan alat AI generatif untuk membuat karya seni atau gambar; Memahami konsep prompt engineering dasar untuk menghasilkan visual; Mengeksplorasi kreativitas kolaboratif antara manusia dan AI;
583,15,"Proyek ""Hewan Peliharaan untuk Universitas AI"" INDO",Digital Literasi 2.0,Digital Literasi 2.0,M6P4,26,,TRUE,Mendesain dan melatih model AI sederhana dalam proyek terintegrasi; Menguji respons model AI terhadap input baru; Mengevaluasi hasil akhir proyek kecerdasan buatan;
584,15,Pembuatan konten pencarian INDO,Digital Literasi 2.0,Digital Literasi 2.0,M7P1,27,,TRUE,Mendesain konsep dan alur cerita untuk permainan pencarian (quest); Menyusun teka-teki logika yang harus dipecahkan; Menentukan struktur misi digital;
585,15,Gambar untuk quest INDO,Digital Literasi 2.0,Digital Literasi 2.0,M7P2,28,,TRUE,Membuat dan mengedit aset visual khusus untuk mendukung cerita quest; Mengintegrasikan gambar ke dalam platform pembuatan quest; Memastikan keselarasan visual dengan tema misi;
586,15,Menyusun Quest INDO,Digital Literasi 2.0,Digital Literasi 2.0,M7P3,29,,TRUE,"Menyusun seluruh komponen (teks, gambar, logika) menjadi quest yang utuh; Mengatur percabangan cerita berdasarkan pilihan pengguna; Menguji fungsionalitas alur quest;"
587,15,Festival Cerita INDO,Digital Literasi 2.0,Digital Literasi 2.0,M7P4,30,,TRUE,Mimpraktekkan hasil proyek quest dalam bentuk festival cerita; Menerima dan menerapkan umpan balik dari pengguna lain; Mengevaluasi pengalaman pengguna (user experience) dalam quest;
588,15,Biro Desain Akademi INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P1,31,,TRUE,Memahami konsep logika pemrograman dasar dan algoritma sekuensial; Mengenal lingkungan pengembangan (development environment) terintegrasi; Mendesain rencana proyek akhir;
589,15,Masalah Sinyal INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P2,32,,TRUE,Mengidentifikasi dan memperbaiki kesalahan logika (debugging) dalam kode; Menganalisis masalah transmisi sinyal data; Menerapkan fungsi kondisi (conditional statement) sederhana;
590,15,Peluncuran roket INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P3,33,,TRUE,Menggunakan perulangan (loops) untuk mengotomatisasi perintah; Mengontrol pergerakan objek digital secara presisi; Menyusun kode program untuk simulasi peluncuran;
591,15,Bekerja di Mars INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P4,34,,TRUE,Mengintegrasikan variabel ke dalam program untuk menyimpan data; Menyelesaikan tantangan pemrograman dengan tingkat kompleksitas menengah; Mengoptimalkan performa kode program;
592,15,Persiapan perjalanan INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P5,35,,TRUE,Melakukan pengujian menyeluruh (beta testing) pada program yang dibuat; Mempersiapkan dokumentasi kode agar mudah dipahami; Memastikan semua fitur program berfungsi tanpa error;
593,15,Perjalanan INDO,Digital Literasi 2.0,Digital Literasi 2.0,M8P6,36,,TRUE,Meluncurkan produk akhir pemrograman secara resmi; Mengevaluasi keberhasilan jalannya program selama simulasi perjalanan; Merayakan penyelesaian seluruh kurikulum teknologi;
